ts,symbol,combo,event,spy_close,spy_ema50,beta_60
2023-07-07,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-10,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-11,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-12,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-13,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-14,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-17,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-18,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-19,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-20,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-21,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-24,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-25,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-26,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-27,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-28,MSFT,C,spy_below_ema50,0.0,0.0,
2023-07-31,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-01,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-02,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-03,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-04,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-07,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-08,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-09,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-10,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-11,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-14,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-15,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-16,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-17,MSFT,C,spy_below_ema50,0.0,0.0,
2023-08-18,MSFT,C,spy_below_ema50,436.39,441.4985046578768,
2023-08-21,MSFT,C,spy_below_ema50,439.32,441.413073102666,
2023-08-22,MSFT,C,spy_below_ema50,438.11,441.28354082413006,
2023-08-24,MSFT,C,spy_below_ema50,436.92,441.17634045318584,
2023-08-25,MSFT,C,spy_below_ema50,439.98,441.1294251412962,
2023-09-15,MSFT,C,spy_below_ema50,443.305,443.811691574291,
2023-09-18,MSFT,C,spy_below_ema50,443.63,443.80456641451485,
2023-09-19,MSFT,C,spy_below_ema50,442.62,443.75811282963195,
2023-09-20,MSFT,C,spy_below_ema50,438.52,443.5526966402346,
2023-09-21,MSFT,C,spy_below_ema50,431.3,443.0721987327745,
2023-09-22,MSFT,C,spy_below_ema50,430.28,442.57054388050886,
2023-09-25,MSFT,C,spy_below_ema50,432.23,442.165032355783,
2023-09-26,MSFT,C,spy_below_ema50,425.84,441.5248350084974,
2023-09-27,MSFT,C,spy_below_ema50,425.925,440.91307677287006,
2023-09-28,MSFT,C,spy_below_ema50,428.51,440.42668160530656,
2023-09-29,MSFT,C,spy_below_ema50,427.3,439.9119097776475,
2023-10-02,MSFT,C,spy_below_ema50,427.36,439.41967802166135,
2023-10-03,MSFT,C,spy_below_ema50,421.68,438.7240043737531,
2023-10-04,MSFT,C,spy_below_ema50,424.705,438.174239496351,
2023-10-05,MSFT,C,spy_below_ema50,424.31,437.63054382982745,
2023-10-06,MSFT,C,spy_below_ema50,429.44,437.3093460325793,
2023-10-09,MSFT,C,spy_below_ema50,432.24,437.11054814894874,
2023-10-10,MSFT,C,spy_below_ema50,434.47,437.00699724114685,
